Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1988","1988","ha","5740800","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1989","1989","ha","5911200","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1990","1990","ha","6042800","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1991","1991","ha","6302700","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1992","1992","ha","6475400","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1993","1993","ha","6559400","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1994","1994","ha","6598600","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1995","1995","ha","6765600","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1996","1996","ha","7003800","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1997","1997","ha","7099700","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1998","1998","ha","7350801","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","1999","1999","ha","7653600","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2000","2000","ha","7666300","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2001","2001","ha","7492700","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2002","2002","ha","7504300","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2003","2003","ha","7452200","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2004","2004","ha","7445300","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2005","2005","ha","7329200","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2006","2006","ha","7324800","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2007","2007","ha","7207400","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2008","2008","ha","7400200","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2009","2009","ha","7437200","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2010","2010","ha","7489400","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2011","2011","ha","7655440","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2012","2012","ha","7761314","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2013","2013","ha","7902813","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2014","2014","ha","7816476","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2015","2015","ha","7828607","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2016","2016","ha","7734722","","Official data"
"GR","Rice Cultivation","237","Viet Nam","5312","Area harvested","27","Rice, paddy","2017","2017","ha","7708534","","Official data"
